RK	TEAM	PACE	AST	TO	ORR	DRR	REBR	EFF FG%	TS%	OFF EFF	DEF EFF
1	Denver	101.6	20.7	12.1	27.8	0.0	52.9	59.1	63.1	123.1	114.3
2	New York	101.4	19.2	11.6	30.5	0.0	52.9	56.1	59.7	119.9	111.3
3	Boston	98.8	18.1	10.6	29.7	0.0	50.4	55.9	58.6	118.7	111.6
4	Houston	97.9	17.7	13.6	39.0	0.0	57.2	55.3	59.2	118.5	108.1
Oklahoma City	102.1	18.9	11.1	21.8	0.0	50.6	57.0	61.3	118.5	102.7
6	LA Lakers	101.6	18.5	14.3	25.0	0.0	51.0	58.0	62.4	116.9	114.5
7	Minnesota	100.6	18.8	13.2	26.3	0.0	51.1	56.9	60.7	116.2	110.8
San Antonio	102.4	18.5	13.0	26.9	0.0	51.9	56.1	60.1	116.2	110.8
9	Orlando	103.6	18.1	12.5	27.2	0.0	51.7	53.7	58.6	114.1	109.4
10	Detroit	101.6	18.1	13.6	32.3	0.0	53.9	54.5	58.3	113.8	108.8
11	Cleveland	101.9	18.6	11.9	28.5	0.0	51.0	54.1	57.5	113.7	111.0
12	Miami	105.7	20.0	12.1	23.8	0.0	49.4	55.0	58.7	113.3	108.3
13	Milwaukee	99.6	19.7	13.4	20.6	0.0	47.9	58.1	60.3	113.0	114.1
Phoenix	102.2	18.0	13.8	29.6	0.0	50.6	54.9	58.3	113.0	111.1
15	Atlanta	101.8	21.2	13.3	23.4	0.0	48.5	56.3	59.5	112.9	111.1
16	Toronto	102.7	20.7	12.9	25.0	0.0	49.6	55.2	58.6	112.6	110.4
17	Philadelphia	102.8	18.1	12.9	26.7	0.0	50.0	53.6	57.7	112.0	111.0
18	Utah	104.6	20.0	13.9	28.7	0.0	51.0	52.9	57.7	111.6	118.4
19	Chicago	105.4	19.7	13.3	23.1	0.0	49.7	54.9	58.6	111.4	115.1
20	Portland	105.2	17.0	13.7	31.8	0.0	51.1	51.8	56.5	111.3	114.8
21	LA Clippers	97.8	17.6	14.1	24.0	0.0	50.0	54.3	58.8	110.7	116.2
22	Charlotte	102.1	18.0	13.9	28.0	0.0	52.3	53.1	57.6	110.3	115.9
23	Golden State	100.3	19.4	14.1	25.8	0.0	49.9	53.6	57.8	110.1	110.0
24	Memphis	103.1	19.9	12.7	25.7	0.0	51.4	52.0	56.2	108.9	112.6
25	New Orleans	99.8	17.1	12.9	28.3	0.0	49.7	51.5	55.6	108.7	119.4
26	Brooklyn	98.2	18.5	14.1	26.1	0.0	48.7	52.8	56.9	108.6	117.9
27	Sacramento	101.6	18.4	12.1	21.1	0.0	46.6	52.7	56.0	107.1	117.6
28	Washington	102.0	18.1	14.3	24.1	0.0	47.4	53.6	56.7	106.9	121.2
29	Dallas	101.9	17.7	13.5	22.5	0.0	48.8	52.4	56.2	106.5	110.2
30	Indiana	103.5	16.7	12.4	25.2	0.0	48.3	50.1	54.4	106.3	114.4
