RK,TEAM,PACE,AST,TO,ORR,DRR,REBR,EFF FG%,TS%,OFF EFF,DEF EFF
1,Miami,107.7,20.0,11.9,22.7,0.0,48.3,54.8,58.5,113.0,108.9
2,Portland,105.4,16.9,14.0,31.4,0.0,50.8,51.7,56.4,110.4,114.4
3,Chicago,105.1,19.6,13.3,23.4,0.0,49.4,54.4,58.1,110.7,115.5
4,Utah,104.5,19.9,13.9,28.1,0.0,50.8,52.9,57.6,111.1,118.8
5,Washington,104.4,18.1,14.3,23.3,0.0,46.3,53.6,56.7,106.9,121.4
6,Cleveland,104.0,18.6,11.9,27.5,0.0,50.0,54.1,57.5,113.7,110.4
7,Dallas,103.8,17.7,13.5,22.1,0.0,48.0,52.4,56.2,106.5,110.3
8,Atlanta,103.8,21.2,13.3,22.9,0.0,47.9,56.3,59.5,112.9,111.1
9,Sacramento,103.8,18.5,12.3,21.0,0.0,46.1,52.6,55.9,106.9,117.1
10,Detroit,103.6,18.1,13.6,31.5,0.0,53.0,54.5,58.3,113.8,109.0
11,Indiana,103.5,16.8,12.4,25.1,0.0,48.2,50.1,54.5,106.5,114.0
12,Memphis,103.4,19.8,13.0,26.1,0.0,51.6,51.9,56.2,108.8,111.6
13,Orlando,103.3,18.1,12.6,27.0,0.0,51.6,53.5,58.3,113.5,109.3
14,Philadelphia,102.7,17.9,12.5,26.8,0.0,50.0,53.0,57.2,111.8,111.1
15,Minnesota,102.4,18.9,13.3,25.8,0.0,50.3,56.8,60.5,116.0,110.9
16,Golden State,102.2,19.4,14.1,25.4,0.0,48.8,54.0,58.0,110.6,108.8
17,Toronto,102.2,20.5,12.8,25.2,0.0,49.4,54.9,58.3,112.2,111.6
18,New Orleans,102.2,17.4,12.7,27.0,0.0,48.4,51.9,56.0,109.4,119.4
19,Oklahoma City,102.1,19.2,11.3,21.5,0.0,50.9,58.1,62.1,119.5,101.9
20,Phoenix,101.9,18.0,13.8,29.1,0.0,50.4,54.5,57.8,111.9,112.0
21,Charlotte,101.9,18.0,13.9,27.8,0.0,52.5,53.1,57.5,110.2,115.9
22,Milwaukee,101.6,19.7,13.4,19.8,0.0,46.7,58.1,60.3,113.0,114.5
23,Denver,101.5,20.7,12.0,27.1,0.0,52.5,59.1,63.0,122.8,114.0
24,New York,101.0,19.0,11.6,30.8,0.0,53.0,56.1,59.6,119.8,110.4
25,San Antonio,100.5,18.5,12.8,27.6,0.0,53.2,56.4,60.3,116.8,111.5
26,Brooklyn,100.4,18.5,14.1,25.4,0.0,47.8,52.8,56.9,108.6,117.3
27,Houston,100.1,17.7,13.6,38.0,0.0,56.2,55.3,59.2,118.5,108.9
28,LA Clippers,99.7,17.6,14.1,23.3,0.0,49.2,54.3,58.8,110.7,116.4
29,LA Lakers,99.4,18.6,14.0,25.1,0.0,52.0,58.0,62.2,116.8,114.1
30,Boston,98.8,18.1,10.5,29.7,0.0,50.4,56.0,58.8,119.0,111.7
